"filename", "language", "C++", "comment", "blank", "total"
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/PostProcessing.cpp", "C++", -1, 0, -1, -2
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver.cpp", "C++", 9, 1, 1, 11
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_CFD_Energy.cpp", "C++", -12, -1, -7, -20
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_CFD_FlowProperties.cpp", "C++", 30, 6, 9, 45
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_CFD_Memory.cpp", "C++", 4, 0, 2, 6
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_CFD_Utilities.cpp", "C++", 38, 4, 28, 70
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_RunSolver.cpp", "C++", 31, 4, 14, 49
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_Species_BoundaryConditions_Premixed.cpp", "C++", 3, 0, 3, 6
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_Species_Memory.cpp", "C++", 9, 1, 3, 13
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_Species_Read.cpp", "C++", 1, 0, 0, 1
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_Species_Utilities.cpp", "C++", 35, 9, 12, 56
"Total", "-", 147, 24, 64, 235
