Coordinate 	 V Velocity 
0.006250 	 0.000000 
0.018750 	 0.000000 
0.031250 	 0.000000 
0.043750 	 0.000000 
0.056250 	 0.000000 
0.068750 	 0.000000 
0.081250 	 0.000000 
0.093750 	 0.000000 
0.106250 	 0.000000 
0.118750 	 0.000000 
0.131250 	 0.000000 
0.143750 	 0.000000 
0.156250 	 0.000000 
0.168750 	 0.000000 
0.181250 	 0.000000 
0.193750 	 0.000000 
0.206250 	 0.000000 
0.218750 	 0.000000 
0.231250 	 0.000000 
0.243750 	 0.000000 
0.256250 	 0.000000 
0.268750 	 0.000000 
0.281250 	 0.000000 
0.293750 	 0.000000 
0.306250 	 0.000000 
0.318750 	 0.000000 
0.331250 	 0.000000 
0.343750 	 0.000000 
0.356250 	 0.000000 
0.368750 	 0.000000 
0.381250 	 0.000000 
0.393750 	 0.000000 
0.406250 	 0.000000 
0.418750 	 0.000000 
0.431250 	 0.000000 
0.443750 	 0.000000 
0.456250 	 0.000000 
0.468750 	 0.000000 
0.481250 	 0.000000 
0.493750 	 0.000000 
0.506250 	 0.000000 
0.518750 	 0.000000 
0.531250 	 0.000000 
0.543750 	 0.000000 
0.556250 	 0.000000 
0.568750 	 0.000000 
0.581250 	 0.000000 
0.593750 	 0.000000 
0.606250 	 0.000000 
0.618750 	 0.000000 
0.631250 	 0.000000 
0.643750 	 0.000000 
0.656250 	 0.000000 
0.668750 	 0.000000 
0.681250 	 0.000000 
0.693750 	 0.000000 
0.706250 	 0.000000 
0.718750 	 0.000000 
0.731250 	 0.000000 
0.743750 	 0.000000 
0.756250 	 0.000000 
0.768750 	 0.000000 
0.781250 	 0.000000 
0.793750 	 0.000000 
0.806250 	 0.000000 
0.818750 	 0.000000 
0.831250 	 0.000000 
0.843750 	 0.000000 
0.856250 	 0.000000 
0.868750 	 0.000000 
0.881250 	 0.000000 
0.893750 	 0.000000 
0.906250 	 0.000000 
0.918750 	 0.000000 
0.931250 	 0.000000 
0.943750 	 0.000000 
0.956250 	 0.000000 
0.968750 	 0.000000 
0.981250 	 0.000000 
0.993750 	 0.000000 
